Job_title,Job_link,Company,Job_location,Job_description,Seniority_level,Employment_type,Job_function,Industries
Data Entry Operator  (Remote),https://wf.linkedin.com/jobs/view/data-entry-operator-remote-at-estaffing-inc-3531602821?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=gkHobSqXA%2BDJSTEGY2PUlw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                eStaffing Inc.
              ","
              Wallis et Futuna
            ","Job Tittle- Data Entry Operator (Remote)

Job location- Remote

Salary Depending on Candidate Experience

Opening Required 10 Data entry operator.

Fresher can also apply.

Enter data into system accurately and efficiently

Organize and maintain files and records

Perform other duties as assigned by the supervisor.

Compiling, verifying the accuracy, and sorting information to prepare source data for computer entry.

Reviewing data for deficiencies or errors, correcting any incompatibilities, and checking output.

Required Candidate Profile.

GOOD KNOWLEDGE OF COMPUTER

MUST HAVE LAPTOP OR SYSTEM

MUST HAVE BASIC TYPING SPEED

MUST HAVE TYPING ACCURACY

NO WORK PRESSURE & NO TIME BOUNDATION

Apply to this position directly to get considered, Your application will be reviewed by assigned recruiter and will connect back to you with in 48 hours .","
            Premier emploi
          ","
          Temps plein
        ","
            Administration
          ","
          Recrutement
          "
Data Entry Clerk - Remote,https://fr.linkedin.com/jobs/view/data-entry-clerk-remote-at-estaffing-inc-3545560192?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=9tVzi%2FfdJiJu04FuRdnDjA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                eStaffing Inc.
              ","
              France
            ","Job Tittle- Data Entry Celrk -Remote

Job location- Remote

Salary Depending on Candidate Experience

Opening Required 10 Data entry operator.

Fresher can also apply.

Enter data into system accurately and efficiently Organize and maintain files and records Perform other duties as assigned by the supervisor.

Compiling, verifying the accuracy, and sorting information to prepare source data for computer entry.

Reviewing data for deficiencies or errors, correcting any incompatibilities, and checking output.

Required Candidate profile.

GOOD KNOWLEDGE OF COMPUTER MUST HAVE LAPTOP OR SYSTEM MUST HAVE BASIC TYPING SPEED MUST HAVE TYPING ACCURACY NO WORK PRESSURE & NO TIME BOUNDATION","
            Premier emploi
          ","
          Temps plein
        ","
            Administration
          ","
          Recrutement
          "
Data Analyst - H/F,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-e-leclerc-3603109468?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=6N8aQvdCUn0n26iJxy4E0Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                E.Leclerc
              ","
              Ivry-sur-Seine
            ","Description

L COMMERCE est composé de 100 collaborateurs repartis en 5 pôles, comme suit :

Pôle Commercial
Pôle Marketing
Pôle Opérations
Pôle Finance
Pôle Technologies

Au sein de l'équipe projet et développement du Pôle Technologies, vous aurez pour mission d'explorer la donnée en provenance de notre plateforme e-commerce et de solutions tierces, afin de produire des tableaux de bord et des analyses à destination de nos équipes internes.

Vous devrez faire preuve d'adaptabilité et travaillerez avec les différentes équipes métiers (Commerces, Webmarketing, Finance…) sur l'ensemble de l'écosystème e-commerce (Commandes, Clients, Logistique, Analytics…).

Vos Missions Seront

Extraire, analyser et exploiter les données digitales du site
Mise en place de Tableau de bord à destination des équipes métiers
Nettoyage et remontées d'erreurs sur la données existante
Analyses ponctuelles approfondies sur des demandes internes
Restitution et présentation des résultats de vos analyses
Recommandation et aides à la prise de décisions
Mise en place de dashboard de monitoring de l'activité E-commerce
Transformation de la données brut en binôme avec nos data engineer

Pour réaliser ces missions, vous avez l'habitude de :

Utiliser un outil BI, idéalement PowerBI
Requêter en SQL (PostgreSQL & MySQL)
Vous aider d'un langage de programmation pour traiter la donnée (Python, R…)

Et Idéalement

Requêter une base de données NoSQL (MongoDB)
Connaissez DAX
Utiliser Google Analytics
Connaissez d'autres langages (Java, PHP…)
Manipuler Jira.

Profil

De formation supérieure, vous avez une première expérience en e-commerce et une très bonne culture digitale.

Vous êtes doté d'un esprit analytique, logique, et pragmatique permettant d'analyser tout type de problématique ainsi que d'une aisance relationnelle pour accompagner les équipes internes.

Vous faites preuve de rigueur et de fiabilité dans vos analyses.

Nous recherchons des personnalités dynamiques, sachant prendre des initiatives et qui souhaitent s’impliquer dans les évolutions de notre secteur et du mouvement. Il est important que nos candidats démontrent un réel engagement, des valeurs communes aux valeurs fortes portées par le mouvement Leclerc depuis sa fondation.

En rejoignant L COMMERCE, vous pourrez valoriser et démontrer votre potentiel, développer vos compétences et acquérir une expérience enrichissante, à travers des passerelles entre les différents marchés et entités du Mouvement !

Envie de challenge ? Vous souhaitez tenter l'aventure dans un univers dynamique, enrichissant, au plus près des entrepreneurs ?

Mieux nous connaitre

Le Mouvement E.LECLERC est un groupement coopératif dont les adhérents sont les propriétaires de magasins, soit 592 entrepreneurs, dont Michel-Edouard Leclerc est le porte-parole. Le Mouvement E.leclerc compte 133 000 collaborateurs, qui travaillent collectivement à la réussite de nos 721 magasins (hypers, supers et express), 690 Drives et 2 541 enseignes spécialisées.

L COMMERCE est l’entité digitale du Mouvement E. LECLERC. L COMMERCE conjugue les talents d’une équipe de 100 collaborateurs répartis au sein des différents Pôles tels que le Marketing Digital, le Commercial, les Opérations, les Technologies et la Finance. Ensemble, ils animent au quotidien notre site marchand www.e.leclerc .

Une start up au cœur du Mouvement !","
            Premier emploi
          ","
          Temps plein
        ","
            Technologies de l’information
          ","
          Commerce de détail de produits d’épicerie
          "
Data Analyst - H/F,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-e-leclerc-3603112250?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=uGEMxfjcqBlpgGaglIMe5A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                E.Leclerc
              ","
              Toulouse
            ","Description

Leader du drive en France, le groupe E.Leclerc cherche un nouveau data analyst pour intégrer son équipe au sein des locaux de Toulouse !

Vous ferez partie d’une équipe jeune et dynamique, en charge du suivi et de l'analyse de toute l’activité des 800 sites E.Leclerc DRIVE ! Vous serez amené à effectuer des études diverses pour les pôles Marketing et Communication, Offre & Merchandising ou encore Logistique.

Au Sein De La Direction Client Omnicanal, Le Service Drive Se Compose De 5 Pôles Repartis De La Manière Suivante

Pôle Assortiment

Pôle Marketing Client

Pôle Développement et Accompagnement réseau

Pôle Logistique

Pôle Datamining & CRM.

Rattaché au Pôle Datamining & CRM, sous la responsabilité de la Chef de Groupe, vos principales missions sont :

Suivi de l’activité des sites E.Leclerc DRIVE et E.Leclerc Chez Moi
Mise en œuvre et analyse de la satisfaction client
Études d'impact des innovations
Prévisions de chiffre d’affaires
Analyse d'opérations commerciales / promotionnelles
Études statistiques, segmentations, modélisations
Accompagnement des équipes dans leur besoins d’analyses ou d’utilisation des outils.

Profil

Vous avez une formation de data analyst / data scientist (bac+5) et êtes attirés par le e-commerce et le digital ? Vous avez une première expérience dans la data (1 an minimum ) ?

Vous êtes polyvalent, dynamique et rigoureux, avec une bonne connaissance des langages de programmation statistiques (SAS principalement et à minima des notions en SQL et en Python) ?

Ce poste est fait pour vous !

Nous recherchons des personnalités dynamiques, sachant prendre des initiatives et qui souhaitent s’impliquer dans les évolutions de notre secteur et du mouvement. Il est important que nos candidats démontrent un réel engagement, des valeurs communes aux valeurs fortes portées par le mouvement Leclerc depuis sa fondation.

En rejoignant le Galec, vous pourrez valoriser et démontrer votre potentiel, développer vos compétences et acquérir une expérience enrichissante, à travers des passerelles entre les différents marchés et entités du Mouvement !

Envie de challenge ? Vous souhaitez tenter l'aventure dans un univers dynamique, enrichissant, au plus près des entrepreneurs ?

Mieux nous connaitre

Le Mouvement E.LECLERC est un groupement coopératif dont les adhérents sont les propriétaires de magasins, soit 592 entrepreneurs, dont Michel-Edouard Leclerc est le porte-parole. Le Mouvement E.leclerc compte 133 000 collaborateurs, qui travaillent collectivement à la réussite de nos 721 magasins (hypers, supers et express), 690 Drives et 2 541 enseignes spécialisées.

Le Galec est l'entité au cœur du système, c'est même le réacteur ! Le Galec conjugue les talents d’une équipe de plus de 824 collaborateurs qui travaillent ensemble au service du front de vente omnicanal de l’Enseigne, c’est-à-dire les hyper/supermarchés, les magasins spécialisés, le drive, le site marchand E.Leclerc et E.Leclerc relais.","
            Premier emploi
          ","
          Temps plein
        ","
            Technologies de l’information
          ","
          Commerce de détail de produits d’épicerie
          "
Data Analyst,https://fr.linkedin.com/jobs/view/data-analyst-at-mirakl-3576203750?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=xPVDJiQlo6Bq0z6BHDdiFg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Mirakl
              ","
              Paris
            ","Le secteur des marketplaces croît deux fois plus rapidement que l'ensemble du eCommerce. La mission de Mirakl est simple : nous aidons plus de 350+ clients à saisir cette opportunité en leur apportant la première solution SaaS de marketplace, une expertise inégalée et un écosystème de vendeurs et de partenaires pour accélérer le lancement et la croissance de leur marketplace.

Notre dernière levée de fonds de 555 millions de dollars en série E valorise Mirakl à plus de 3,5 milliards de dollars et nous place parmi les acteurs les plus dynamiques de l'eCommerce au niveau mondial.

Your impact:

The Business Intelligence team is the owner of customer data and insights at Mirakl, and acts as the main point of contact for anyone who needs insights about our customers, our products and the business as a whole.

We are on a journey to build a first-class department; enabling the entire company to easily discover, explore, and report on internal data in order to make data-driven decisions.

You will help shape the department and business as it grows, becoming a trusted partner and a source of authority for all things on data and analytics. Experience as Anaplan Model builder required.

What you'll do at Mirakl:

Your mission is organised with two pillars:

50% : Providing insights, dashboarding and mastering our BI datalake

Partner with teams across the business to understand their needs, challenge existing ideas and guide decision-making.
Produce relevant insights, actionable recommendations, with confidence and in a concise manner to drive product and customer strategy.
Build, maintain and continuously improve our reports and dashboards used by the business (currently Tableau).
Collaborate and share best practices and methodologies with the rest of the BI team and wider business.


50% : Model builder Anaplan® :

Working closely with the business teams and FP&A controller on the adoption and utilisation of Anaplan, including, but not limited to:
Headcount forecasting
Gross Merchandise Value forecasting
Annual salary review
Ensure the coherence/consistency between these processes/models
Adapt existing models as the business evolves
Support FP&A project team on major new projects (with Anaplan integrators)


Teams you'll closely interact with include:

The Customer Success team, which includes multiple disciplines covering onboarding, ongoing performance reviews and feature adoption.
The Connect team, on their mission to build a leading platform for sellers.
The FP&A team and all departments in the company involved in Anaplan processes.


What Mirakl is looking for in a candidate:

3+ years in a similar or related role (an e-commerce background is an advantage, but not essential).
Experience as Anaplan Model builder required
Proficient with SQL and Excel
Experience with one or more data-visualisation tools (Looker, Tableau, PowerBI, QuickSight etc.)
Excellent written and spoken language skills in English and ability to work in a multi-cultural and multi-lingual environment.
Comfortable working with large datasets and are able to write complex and performant queries.
Comfortable working in a fast moving environment, managing several topics in parallel with different stakeholders.
Strong analytical skills to identify patterns and insights, and to propose actionable recommendations.
Have a natural curiosity and investigative mindset.


We welcome collaborators with their diverse perspectives and experiences to power us forward. These often far exceed conventional job requirements and help us create a culture of continuous learning. If you're ready to join a hyper-growth company at the heart of digital transformation for the world's most forward-thinking organizations, we strongly encourage you to apply to any of our roles, even if you think you're not an exact match.

Mirakl est engagée en faveur de la diversité, de l'égalité des chances et de l'inclusion. Nous célébrons nos différences car nous sommes convaincus que les qualités visibles et invisibles de chaque Mirakl Worker sont une source de force et d'innovation. Dans le cadre de cet engagement, nous étudions toutes les candidatures sans distinction de : genre, ethnicité, religion, orientation sexuelle, handicap, âge ou toute autre caractéristique protégée par la loi.","
            Premier emploi
          ","
          Temps plein
        ","
            Technologies de l’information
          ","
          Technologie, information et Internet
          "
Business Analyst (Remote Internship),https://fr.linkedin.com/jobs/view/business-analyst-remote-internship-at-scaleup-agency-3621982680?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=WdXEktkBbQfhb%2FH5Tcgm8w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                SCALEUP.agency
              ","
              Dijon
            ","About Role




As a Business Analyst Intern you work daily on data analytics / strategy consulting tasks and projects related to mining and researching data, later on data optimization, cleaning, and finally on the interpretation and data visualization for clients and internal company needs.




Your mission:




Develop dashboards and descriptive analytics solutions for clients
Prepare technical reports by collecting, analyzing and summarizing information and trends
Take care of data integration and database management
Support and maintain existing BI solutions and resolve bugs as they arise
Conduct insightful, ad hoc analyses and informative, actionable reporting that highlights relevant business trends and opportunities for improvement
Collaborate with other teams to build valuable content using BI solutions




Your perks:




Access to very extensive educational resources and opportunities
Flexibility (work location, work from home)
Hi-tech and world-class working tools available also for personal use
Life-coaching & mentoring arranged by senior internal and external mentors
Team-buildings that are really different from “standard” companies




Your superpowers:




Currently enrolled in a University degree (Bachelor/Master) or fresh graduate
Serious interest in data research, data science, consulting and finance audit
Your personality captivates with enthusiasm for innovation, curiosity and the courage to question facts and always double-check data
Ability to thrive in fast-paced environment with competing priorities and last-minute changes
Staying on top of all innovation-related news and leveraging your experience to conceptualize innovation strategies and methodologies
Business acumen and client’s focus
Basics and willing to improve skills in: Tableau, Power BI, Qlick




Your mission frame:




Type: Full Time/Part Time internship (40/30h per week)
Compensation: Non-paid / Students' scholarships
Location: Remote
Duration: 3 Months, optional to be extended up to 6 months
Start: ASAP




The exact starting date of the internship can be flexible after successful interviews and agreement.




This is a Remote (work from home) position.




Note: Due to the high number of applications we receive, we will only respond to applications that match our criteria and expectations. Thank you for understanding.




Powered by JazzHR




GXvhghDoRI","
            Stagiaire / Alternant
          ","
          Stage / Alternance
        ","
            Études/recherche, Analyste et Technologies de l’information
          ","
          Édition sur Internet
          "
Business Analyst (Remote Internship),https://fr.linkedin.com/jobs/view/business-analyst-remote-internship-at-scaleup-agency-3621982681?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=94Ip5ob7hILjfWlR%2FjG%2Fvw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                SCALEUP.agency
              ","
              Reims
            ","About Role




As a Business Analyst Intern you work daily on data analytics / strategy consulting tasks and projects related to mining and researching data, later on data optimization, cleaning, and finally on the interpretation and data visualization for clients and internal company needs.




Your mission:




Develop dashboards and descriptive analytics solutions for clients
Prepare technical reports by collecting, analyzing and summarizing information and trends
Take care of data integration and database management
Support and maintain existing BI solutions and resolve bugs as they arise
Conduct insightful, ad hoc analyses and informative, actionable reporting that highlights relevant business trends and opportunities for improvement
Collaborate with other teams to build valuable content using BI solutions




Your perks:




Access to very extensive educational resources and opportunities
Flexibility (work location, work from home)
Hi-tech and world-class working tools available also for personal use
Life-coaching & mentoring arranged by senior internal and external mentors
Team-buildings that are really different from “standard” companies




Your superpowers:




Currently enrolled in a University degree (Bachelor/Master) or fresh graduate
Serious interest in data research, data science, consulting and finance audit
Your personality captivates with enthusiasm for innovation, curiosity and the courage to question facts and always double-check data
Ability to thrive in fast-paced environment with competing priorities and last-minute changes
Staying on top of all innovation-related news and leveraging your experience to conceptualize innovation strategies and methodologies
Business acumen and client’s focus
Basics and willing to improve skills in: Tableau, Power BI, Qlick




Your mission frame:




Type: Full Time/Part Time internship (40/30h per week)
Compensation: Non-paid / Students' scholarships
Location: Remote
Duration: 3 Months, optional to be extended up to 6 months
Start: ASAP




The exact starting date of the internship can be flexible after successful interviews and agreement.




This is a Remote (work from home) position.




Note: Due to the high number of applications we receive, we will only respond to applications that match our criteria and expectations. Thank you for understanding.




Powered by JazzHR




uumdO2ZnT0","
            Stagiaire / Alternant
          ","
          Stage / Alternance
        ","
            Études/recherche, Analyste et Technologies de l’information
          ","
          Édition sur Internet
          "
Data Science Intern,https://fr.linkedin.com/jobs/view/data-science-intern-at-gourmey-3630567586?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=%2FNP9gdHwkzi7iF1IHWJeAw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                GOURMEY
              ","
              Paris
            ","Do you want to build a tastier future through cutting-edge technologies? We are looking for a mission-driven, creative, and committed Data Science Intern to join us 🦆. Come and bring your skills to the table!

GOURMEY is one of Europe's leading cultivated meat companies with global ambitions. Our vision is to create sustainable cultivated meat delights directly from animal cells for a conscious generation. We believe in a world where succulence can share a table with a positive impact and that cutting-edge technology combined with culinary arts can help us get there.

From engineers, scientists to culinary experts, we’re building an international team that shares the same passion for positive change. Currently a team of 50 Gourmates, we have dozens of nationalities at the table! Our differences are our strengths and our common language is food.

At GOURMEY, you will report directly to Remy Kusters - GOURMEY’s Senior data scientist. The internship can start as early as June. The required length of the internship is 6 months.

What will you be responsible for?

As a Data Science intern, you will join our fast-moving team and support the Data and Discovery team on a large range of transverse projects

Writing data automation scripts and workflow automation for all the lab operations.
Support the R&D, scale-up, and manufacturing teams with automating data-intensive tasks and data analytics.
Work with Gourmey’s data management system to provide full traceability of all R&D, scale-up, and manufacturing operations.


Requirements

You are fully proficient in Python and have experience with SQL and JSON.
Currently enrolled in a master's program in data science or engineering.
Experience with scripting for data automation.
Bioinformatics experience is a plus.
You have excellent communication skills with the ability to communicate clearly and in a structured way.
Be a reliable, agile, and quick-thinking member of our team.
You are fluent in English.


Benefits

You will join a fast-growing startup located in the center of Paris, with a global ambition to build the future of food through cutting-edge technologies in an inclusive work environment valuing the importance of work-life balance, we offer:

€900-1,000 remuneration, depending on your previous experiences
An attractive company health insurance and work-life balance monitoring
Since we are all foodies, we also offer a great kitchen, daily meal vouchers, and fresh fruits and nuts delivered weekly.
Furthermore, we support sustainable transportation and offer extra compensation to those who cycle to work.


What is our recruitment process?

Inclusiveness is at the heart of everything we do at GOURMEY. By being transparent about each step of the process, and why we do things the way we do, we believe we can give all candidates a foretaste of GOURMEY’s culture.

During the process, you will meet some of your team members in different parts of the recruitment process which will look like this:

30mn call with Clémence (our Head of People)
A remote case study in English to give you a taste of what we are working on at GOURMEY, during a 1h-call with Rémy
A last interview on-site (when possible) to meet part of the team and visit the labs & office","
            Stagiaire / Alternant
          ","
          Temps plein
        ","
            Ingénierie et Technologies de l’information
          ","
          Technologie, information et Internet
          "
Data Science intern,https://fr.linkedin.com/jobs/view/data-science-intern-at-giskard-3601352236?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=9aSYKA8Oyt1%2BixTvPKS%2BIw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Giskard
              ","
              Paris
            ","Giskard defends the vision of a Responsible AI that serves the economic performance of companies while respecting the rights of citizens. To embody this mission, Giskard enables AI professionals (Data Scientists and Machine Learning Engineers) to collaborate with business teams to evaluate & test the quality of AI models.

We are building the first collaborative & open-source Quality Assurance platform for *all* AI models. We already empower customers with two solutions:

AI Inspect helps explain AI models to identify risks of errors & biases. It makes the AI development process more efficient, saving time & reducing friction between AI & business teams.
AI Test allows building automated tests on AI models to ensure ethics, robustness & efficiency. Thanks to these tests, businesses can prevent the risks of costly AI incidents in production.


We recently raised our first round of 1.5 million euros, led by Elaia, with participation from Bessemer Venture Partners and notable angel investors. To read more about this fundraising and how it will accelerate our growth, you can read our announcement.

As a Data scientist intern, you will:

Design & develop core ML products: Computer Vision & Time Series inspection & testing
Produce data science content: papers, conferences, blog articles, etc.
Conduct our technological watch: testing of tools for quality in ML
Be at the forefront of the Responsible AI new wave of innovation


Requirements

We are looking for end-of-year internships leading to a full-time hire. For now, we are hiring only interns enrolled in French universities.

Skills

You are in a Data Science Master degree or Bachelor degree
Strong skills in the Python data science stack, especially with pandas, scikit-learn, tensorflow, torch, and transformers
You have some skills in software engineering (use of Git, etc.)
Technical and non-technical writing skills in English


About You

Passionate about building robust solutions to real-life problems
Driven by customer needs & outstanding user experience
Willing to build a real product and see it being used by customers
Hungry for learning new skills every day
Conscious about technology's role in our society
Empathetic team player


Recruitment process

You can get an offer with salary & equity in 3 weeks 🚀

Fit interview: 15 minutes
Tech exercise: 10 days to complete
Tech interview: 45 minutes
Reference call: 1 person
Final interview: 45 minutes


Benefits

We value diversity, equity, and inclusivity. Giskard is an equal opportunity employer. We do not discriminate on the basis of race, religion, color, origin, gender, sexual orientation, age, marital status, veteran, or disability status.

We are remote-flex. We value productivity and work/life balance. You can come to our office at Station F on a weekly basis if you live around Paris. You can also work remotely and come to the office on a monthly basis.

After internship, full-time employees are granted a significant equity package. We want to include everyone in the adventure and make it a collective win.

Salary: between 1500€ and 1800€ / month","
            Stagiaire / Alternant
          ","
          Temps plein
        ","
            Analyste
          ","
          Technologie, information et Internet
          "
Product Data Analyst - Internship,https://fr.linkedin.com/jobs/view/product-data-analyst-internship-at-homa-3626957074?refId=F6E25S2NzGNO9Tb9Xf3ucA%3D%3D&trackingId=dqLoOzx6jbhSyaAQ1P4s4A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Homa
              ","
              Paris
            ","Welcome to Homa, the gaming technology lab that is taking the industry by storm! Our team of over 200 people, hailing from more than 35 different countries, is dedicated to empowering mobile game creators worldwide to bring their creative ideas to the top charts.

Our Homa Lab platform offers a comprehensive suite of cutting-edge tools that allow developers to stay on top of the latest trends, test new features in real-time, and easily distribute and monetize their games. Our success speaks for itself - our apps have been downloaded over 1 billion times!

Since our inception, we have raised $165 million in total from prominent investors, including Headline, Northzone, Eurazeo, Singular, Quadrille Capital, Fabric Ventures, and Bpifrance. We have also received support from renowned business angels, such as the founders of King, Sorare and Spotify founders.

But what really makes Homa special is our team. We are a diverse group of artists, business developers, engineers, entrepreneurs, and former strategy consultants who all share the same passion for taking over the gaming industry. When you become part of Homa, you'll be joining a dedicated team that creates innovative and high-performing games that resonate with players worldwide.

If you're ready to take your career to the next level and make a real impact in the company, then Homa is the perfect place for you. Join us and let's create the future of gaming together!

Role And Missions—What You Will Do 🚀

You will join our Data team composed of 10 people. Working alongside our Analytics & Data Science experts, you will support them in the implement of new projects. More concretely, you will:

Analyze large and complex data sets representing the behavior of millions online and mobile game players to address strategic and operational business questions;
Provide actionable recommendations and conclusions from games and monetization data to shape features, game economies and future product roadmaps;
Partner with internal stakeholders to understand business requirements, work with cross-functional data and operational teams to design and implement efficient and scalable analytics and reporting solutions;
Build automated dashboards and reports to facilitate company-wide awareness and understanding of key business metrics and player’s experience.


Requirements

If you’re creative, ambitious, and up for taking over the industry, we want you on our team.

Your are preparing a Master Degree (Business School, Engineering School or MSc in a quantitative field)
You ideally have a prevous professional experience with a data first company (e-commerce, tech, gaming, etc.)
Strong analytical and problem-solving skills
Experience with Python and SQL
Passion/Experience in gaming
Experience with Tableau or equivalent is an advantage
Fluent in English


Our Culture—Who We Are🪐

At Homa, we value brains over backgrounds and determination over degrees. We believe actual growth results from diversity — nationalities, backgrounds, skill sets, and personal experiences — all working towards a single objective. If you’ve got the smarts, energy, and motivation, no barriers keep you from going far.

We are the people behind the platform - the creative specialists giving creators the data needed to power up their creativity. At Homa, we live by the three central values:

Ambition: we put flags on summits. We set our goals ambitiously high and don’t shy away from the climb. We’re on a mission to take over an industry thick with incumbents who won’t go quietly into the night. To succeed here, you’ll need a highly metaphorical shield and a sword.
Humility: we put our egos aside. We put our hands up. First to volunteer to help, second to high-five. Having an ego is natural, but letting it run the show is unhelpful to everyone. In the words of Mr. Lamar: Sit down. Be humble.
Curiosity: we keep our eyes open. We believe the best way to know anything is to question everything. And to do that, you need open eyes and open minds at all times.


Benefits
Success is its own reward, but here are the perks as well.
You’ll be working with top tier talent from 34+ countries
If you’re interested in working from our newly-renovated Paris HQ with a rooftop garden and WeWork amenities, we’ve got a desk right here…
You’ll have two annual reviews, meaning you’ll have two chances a year to prove you should be earning more.
Don't speak French and don't want to learn it? Pas de problème, we work in English.
See the world via team events + workation (the infamous company-wide Homa trip).
We have a culture of continuous learning, supporting knowledge sharing & experience gaining through our learning platform.
Essential benefits in France and specific locations: health insurance, meal vouchers, public transport subsidy, child-care benefits, and life insurance.","
            Stagiaire / Alternant
          ","
          Stage / Alternance
        ","
            Analyste
          ","
          Technologie, information et Internet
          "
